,idx,class,conversation
3108,3108,기타 괴롭힘 대화,"야 너 일로 와봐
너 한테 내 뒷담깠다며? 
아니긴 뭐가 아니야 너라던데 
그럼 지금 가 거짓말했다는거야? 이간질까지 하네 이게
너 내 뒷담까고 다니는거 예전부터 알고있었어 진짜 성격 개판이다"
3109,3109,협박 대화," 그게 무슨말이야?
 그게 무슨말이야 갑자기 왜?
 나 죽는거 보고 싶어서 그래?
 나 혼자 안죽어 같이 죽자
 협박아니야 같이 죽자"
3110,3110,갈취 대화,"어 그래 정수왔니? 근데 무슨 소리야?
아아 그거? 아니 니네엄마도 참 웃겨. 그걸 왜 꼭 니 이름으로 해서는.
고모가 지금은 좀 바쁘거든? 니 도장이랑 신분증 두고가면 고모가 찾아서 갖다줄게.
뭐? 참 너 웃긴다. 얘 내가 니네 엄마가 맡긴 거 문제 없이 잘 보관해줬으면 어느 정도 내 지분도 있는 거 아니니?
니네 엄마는 죽어서까지 날 답답하게 하는구나. 얘 그럼 거기다 대고 싫다하니? 하여튼! 난 절대 못준다."
3111,3111,직장 내 괴롭힘 대화,"김대리 요앞에 스타벅스좀다녀와
일단가서 커피좀사오고나서 마저해
 김대리 너 내말이 우습니? 부장님말은 어렵고 내말이우습다이거지?
너 승진점수 채점할때 내 지분큰거 몰라?
알았으면가서커피사와
카드깜빡하고 안가져왔으니까 니돈으로좀사와. 내가 너승진평가점수 매기는사람인데 그정돈해줄수있잖아?"
3112,3112,협박 대화," 거기 당신이 네 어머니 되십니까?
 대체 가정교육을 어떻게 시키는거야? 니 자식이 우리 애를 얼마나 괴롭혔기애 애가 가슴이 찢어지는 것 같다고 집에서 우냔말이에요?
 당신 애가 우리 애를 괴롭혔다고요!!!
 뭐? 당신 내 귀에 두 번 다시 이런 일 들어오게 하면 당신 딸 쥐도 새도 모르게 내가 죽여버리는 수가 있어. 알어?
 내가 지금 무슨 말 하는 지 모르는거야? 너네 가족 내가 가만 안 둬. 이 마을에서 고개도 못들고 다니게 다 조져놓을거야!!!"
3113,3113,기타 괴롭힘 대화,"야야 저 앞에 여자봐봐 
 저 청치마 입은 여자. 와 다리가 내 2배야.
 아니 무슨 자신감으로 짧은 치마 입는거지??? 내가 저 정도 다리였으면 바지 입거나 긴 치마 입었겠다.
 오히려 저런 시선 즐기는 거 아냐? 뚱뚱해서 남자들 관심 못 받으니까 저렇게라도 해서 받고싶은거지.
 다들 애써 외면하는 거 봐. 남자들 불쌍 "
3114,3114,직장 내 괴롭힘 대화,"일처리가 이게 최선이야?
 지금 내가 이런 걸 너한테 부탁한 줄 알아?
 지금 한시가 급한 데 너 때문에 다 다시해야 되는 상황이잖아.
 다시 하면 다냐고. 지금 마감시간이 다 됐잖아.
 됐어. 이 일 너 그만 둬."
3115,3115,협박 대화,"어때 여기 있는 기분이?
그러니까 니가 우리엄마를 왜 그렇게 했어? 잠자는 사자의 코털을 건들면 안되지.
이미 증거도 확보했어 발뺌하지마.
당연하지 처음부터 범인은 너였으니까.
그전에 너가 살아서 이 곳을 나갈 수 있을까? 니가 할 수있는건 죽는 날만 기다리는 거야.
밝혀내기 전에 너의 혀를 먼저 뽑아야겠네."
3116,3116,직장 내 괴롭힘 대화,"정인턴
복장이 그게 뭐지?
뭐가 죄송한데
널 보면 우리 회사가 망하겠어
저리 사라져 꼴보기 싫어"
3117,3117,기타 괴롭힘 대화,"야 찐따
가서 빵좀사와
그래. 우유도같이
니돈으로사 임마
어쭈 죽을래"
3118,3118,협박 대화,"야! 너 학폭신고했냐 ?
미친.오늘 경찰한테 연락왔는데.죽을래?
병신이네. 경찰이 니이름 말해줬거든.?
설마 그때 뺨좀 맞았다고 그러냐.? 참나.친구끼리.
야! 미친.넌 그나마 양호한거야. 좋은말로 할때 고소한거 빨리 취하해라.
야. 진짜 죽여버리기 전에! 씨발. 칼가져와! 너도 나 찔러그럼!! 내가 너 후회하게 만들어줄꺼야.알겠냐? 이 찌질한 왕따새끼야."
3119,3119,기타 괴롭힘 대화,"니꺼하는김에 내숙제좀
맞을래?
맞아야 정신 차리겠다
숙제는 니담당 이야
또 토달면 학교다니기 싫은줄알고 그만두게해줄게"
3120,3120,기타 괴롭힘 대화,"저기요 선생님 혹시 다음주인가 다다음주에 유치원 견학 가는 장소와 시간 알려주실 수 있을까요?
 저기요 그거 하나 보내주는 게 어렵습니까? 그럼 저희 애 담임 왜 하는데요 이런 시간에 문자 보내면 안된다는 법 있나요?
 진짜 뻔뻔하고 대충 일 하려고 하시네요. 유치원에서도 애들 대충 가르치고 대충 보육하시죠?
 거짓말 치지 마세요. 프로필 사진만 봐도 유치원 선생님이 사진이 이게 뭡니까? 교육자로서의 자질이 부족하시네요.
 애들 앞에서도 이런 사진 보여주시는거 아니죠? 지금 이 문자만 봐도 애들 어떻게 케어 하실지 매우 걱정이 되는데요
 그렇게 생각하시던 말던 제가 이 유치원 카페에 올릴겁니다. 정보 공유 부탁 드렸는데 대충 얼버무리시면서 쉽게 일하시려 하고 프로필 사진도 애들 정서와 맞지 않는거 올리면서 생활하신다고요.
 네 혼자서 생각하시고 그렇게 편히 대충 잘 주무시기를 바랄게요"
3121,3121,직장 내 괴롭힘 대화,"길동씨 아파요?
얼굴이 죽은사람같네
립스틱이라도 발라
화장했는데 그 모양이야.
거래처사람들 여기오는 사람들 밥맛떨어지겠네 "
3122,3122,협박 대화,"야 너 부자라면서
부자면 서민들 힘들게 하는 존제 아닌가 부자면 죽어야지 새끼야
하여튼 잘 사는것들이 난 젤 죽여버리고 싶어 각오해라 새끼야
너 서민들 사기 치면서 벌어들인 돈으로 부자 된거잖아
됐고 죽여버릴거야 새끼야"
3123,3123,기타 괴롭힘 대화,"아오 저 동태눈깔 꼴보기 싫어 야 눈 안깔아?
눈 깔았어.
아니 눈이 문제가 아니야 몸매도 그렇고 리얼 어류같이 생김 
앜 생선집 아들이라 그런가 느그 형은 고등어 닮았어?
그냥 죽을게.
야 죽어보던지 미쳤네"
3124,3124,직장 내 괴롭힘 대화,"죄송합니다.
죄송합니다.
더 꼼꼼하게 확인하고 드리겠습니다.
오늘 내로 수정해서 드리겠습니다.
네."
3125,3125,직장 내 괴롭힘 대화,"아 업무가 다 끝나서.
아뇨 그건 아니고.
아닙니다. 생각해보니 할 일이 남았습니다.
이건 어제 넘겨드린 거 아닌가요.?
네.알겠습니다."
3126,3126,직장 내 괴롭힘 대화,"김 대리 주변에 괜찮은 여자 없어?
이 새끼가 나를 완전 무시하네? 내가 만만해?
여자 한 번 소개 시켜주는 게 그렇게 유난 떨 일이야?
일을 못하면 다른거라도 잘 해야 할 거 아냐.
노력하면 너가 못하는 승진 할 수 있어? 잘 하란 말이야. 병신같은 자식아."
3127,3127,기타 괴롭힘 대화,"너 학교 끝나고 체육관으로 좀 와 봐
찐따새끼가 오라면 와
10분이나 늦었네? 너 일부러 늦었지 한대 맞자
와 이 새끼 말대꾸를 하네 쳐 맞을래?"
3128,3128,기타 괴롭힘 대화,"응.? 너 저번에 빌려간 내 수학책도 안줬잖아.
아니.나도 곧 이 수업이야.
너는 빌려가는 거라지만. 나는 받지도 못하고. 맨날 내가 빌리러가야한단말야.
쉬는 시간에. 매일 니가 자리에 없어서.
책 빌려가면.맨날 찢어놓고.낙서하고."
3129,3129,기타 괴롭힘 대화,"헐 쟤 뭐야 징그러워.
야 가까이 좀 와봐 남자새끼가 쫄았냐?
아니 남자가 남자화장실에서 볼 일 보는게 성희롱이라고? 어이없네
야 오줌은 나오냐? 그걸 왜 달고 다니냐그냥 떼라.
진짜 개 웃기네. 뭐 애기 때 성장 멈췄어? 풉"
3130,3130,협박 대화,"야 너 일로 와봐
너 내가 만만해?
너 내 뒷담까고 다녔냐?
누가 그러냐니 진짜냐 
기분 개나빠 좀 쳐 맞자
너 좀 쳐맞고 정신차리자 아님 너 여동생이나 "
3131,3131,기타 괴롭힘 대화,"아 너무달아
너무 달잖아 커피가
아니 그래도 그렇지 혀를 녹일일있어?
요새 젊은이들은 융통성이 없기로는 일등이라니까! 
그럼 이거를 먹으란말이야? 이 설탕덩어리를?"
3132,3132,기타 괴롭힘 대화,"유튜브 보니까 기절놀이가 유행이라는데 해보자.
뭐가 위험해 이리와봐
맞고 올래? 그냥 올래?
살살하는게 어딨어 그럼 기절 못하지
오. 버티네?"
3133,3133,기타 괴롭힘 대화,"장애인 너 머하냐?
근데 왜 애들이 너 장애인이라 그러냐.?
장애인이니까 장애인이겠지.
장애인이 노력한대 노력하면 머가 바뀌냐 어차피 장애인거 같은 급이지 너는 우리랑 비교가 안돼
장애인이 일반인으로 바뀌는거 봤어? 너도 똑같아"
3134,3134,직장 내 괴롭힘 대화,"가 남자친구 생겼다며?
가 며칠됐지?
가 좋을 때네
가 진도는 어디까지 나갔어?
가 뭘 순진한 척이야 . 솔직히 말해봐"
3135,3135,기타 괴롭힘 대화,"야. 너 시간 좀 있냐?
가서 빵 좀 사와.
아 배고프니까 빵 사오라고.
말이 많네. 사오라면 사와. 크림빵으로 부탁해?
1분 내로 갔다와. 나 배고프다고."
3136,3136,기타 괴롭힘 대화,"야. 절뚝이
똑바로 걸어다녀라
절뚝절뚝 방아깨비냐?
사람이 아닌 곤충이었어
곤충이 말을 하네"
3137,3137,협박 대화,"너 내 지갑 가져갔지
가져갔잖아.경찰에 신고한다
내가 확인해본다.나오면 어쩔래
경찰에 가자.가만안둬.죽여버릴거야
넌 도둑이야"
3138,3138,직장 내 괴롭힘 대화,"맞아요 부장님
나때는 고개도 못들었어
조심하겠습니다
잠깐 나가 있어
가란다고 진짜 가냐?"
3139,3139,직장 내 괴롭힘 대화,"웃는 거 보니 일이 하나도 안힘든가봐?
우리 회사 요즘 바쁜데 그렇게 한가하게 시시덕거릴때야??
할일 없지? 일좀 더줘?
요즘 애들은 이게 문제야 일이 없음 더 찾아서라도 해야지
가서 일이나 해! 진짜 짤라버릴까보다"
3140,3140,협박 대화,"걔가 먼저 재수없게 했어요.
얼굴믿고 여기저기 꼬리쳤다구요.
재수없는데 어떻게 해요?
뭐라구요?
알겠어요"
3141,3141,갈취 대화,"조요히 해결하는 방법이 있긴한데.
 그게 좀 큰 거 한장이면.
 아 그러니까 한 1억이면 해결될 거 같은데.
 아 이사람이. 이거 기사로 나가봐요. 당장 회사 문닫아야 할 판이야.
 그러니까 아까워 말고 1억만 땡겨봐요.
 진작 그럴것이지 . 12시까지 1억 준비하세요."
3142,3142,직장 내 괴롭힘 대화,"오사원 일처리도 빠르고 잘하는걸
그럼 이것도 부탁해요
사원전표정리 부탁해요
사원 자료 좀 준비해줘
에이사원이 능력이 좋아서 그런거야다 사원한테 도움이 되는거라고. 부탁해
사원! 전표에서 이부분이 틀렸잖아!!
자기 영역 아니면 틀려도 되는거야?! 제대로 해야할거 아니야. 다시해와!"
3143,3143,갈취 대화,"사장님 장사하기 싫소?
자릿세 내라고 말햇어안햇어?
여기 우리구역인거몰라?
여기서 장사하려면 돈을 내야지
해봐 그럼 눈알을 뽑아줄테니"
3144,3144,갈취 대화,"안녕하세요 00투자증권입니다.
고객님의 신용등급이 하향조정되어 연락드립니다.
조회도와드리겠습니다. 주민등록번호 전체를 불러주세요.
네 고객님. 신용등급 하향조정 맞구요. 올리시려면 천만원 계좌로 송금 부탁드립니다.
기한은 13일 이내입니다."
3145,3145,기타 괴롭힘 대화,"그 소문 진짜야? 너가 다른 애들 뒷담화하고 다녔다며?
아니긴 뭘 아니야. 이미 소문 쫙 났는데.
됐어. 너 성격 원래 그런 줄 알았어.
지랄하지마. 진짜 역겨워. 너가 그래서 친구 없는 거야.
억울하면 처신 똑바로 하고 다녔어야지."
3146,3146,기타 괴롭힘 대화,"어머 얘 오랜만이다
얘 근데 넌 살이 좀 찐것 같다?
여자애가 이렇게 살이 뒤룩뒤룩 찌면 남자들이 안좋아해. 얼른 살 좀 빼야겠다.
그리고 너 쌍수할 생각은 없니?
내가 보니까 넌 쌍수를 해야되는 눈이야. 지금 봐 축 쳐져서 졸려보이니까 전체적인 인상이 어두워보이잖니. 안 그래?"
3147,3147,기타 괴롭힘 대화," 내 옆으로 오지마
 내가 아는 사람들이 보면 니가 내 여친인줄 알거아냐
 아 싫어 뚱뚱하고 못생겼는데 여친으로 오해받는거 싫다고 그러니까 내 뒤로 멀리 떨어져서 따라와
 그래!"
3148,3148,기타 괴롭힘 대화,"야 넌 평생 못걷냐?
헐 불쌍해 그럼 이거 의족이냐? 오 나 만져봐도 돼?
미친 다리장애인 주제에 그것도 허락을 안해줘?
맞잖아 다리 장애인 너 왜 꼽냐? 평생 걷지도 못하는 장애인 주제에 신기해서 말 걸어줬더니
왜? 환냐? 그럼 일어나서 한대 때리던가 아 맞다 다리병신이라 일어설 다리가 없구나? 이걸 어째"
3149,3149,직장 내 괴롭힘 대화,"자 점심식사들 합시다
 대리님. 오늘은 쌀국수 어때?
 저 오늘 같이 먹어도 될까요?. 도시락을 못싸와서.
 잠깐 저 화장실좀 다녀오겠습니다
다들어디로 가셨지.
어머 지선씨 한참을 찾았네 "
3150,3150,직장 내 괴롭힘 대화,"김대리 퇴근하고 이따 시간 좀 되나
 그럼 우리집 화장실 공사 하는데 와서 좀 도와줘
 자네 손재주가 좀있고 그런거 같은데 안되나?
 이참에 한번 해보는거지
 상사가 시키면 시키는 데로 할것이지 라떼는 말이지. 회사생활 편하게 싫은가보지?"
3151,3151,기타 괴롭힘 대화,"야 저 찐따새끼 지나간다
 여기 너말고 찐따가 어딨는데?
옷도 그따위로 입고 머리도 안감도다니냐? 냄새난다
꺼져 냄새나는새끼야"
3152,3152,갈취 대화,"바쁜데 왜 불러!
이거 내가 새벽부터 해서 힘들게 모은거야 우리 손주 등록금 벌어주려고
이거 팔아봤자 얼마 안 돼. 노인네 딱하다 생각하고 한 번만 그냥 지나가 주게
그럼 안되지 이거 어떻게 다 주운건데. 손주 하나만 보고 열심히 했어.
그러면 난 뭐 먹고 살라고. 손주 등록금 조금 제외하면 하루 벌어서 하루 먹고 산단 말이다."
3153,3153,기타 괴롭힘 대화,"지우야 너 카톡계정 있지? 그것좀 빌려주라.
내가 계정이 정지됐는데 비밀번호를 까먹었어
아 내가 몰라서 묻는거 같아? 여러번 했는데 안되서 너한테 물어보는거잖아.
너 안빌려주면 죽는다.
너 형이 잘해주니까 무시하냐? 야이"
3154,3154,기타 괴롭힘 대화,"너 중국에서 왔다며 ?
진짜 중국은 마약하면 죽냐?
아니 뉴스보면 그러잖아 마약하면 바로 사형이라고 
진짜면 대박이다 중국인 미개하다 진짜
그래서 짱깨 소리 듣는건가 개 웃겨"
3155,3155,협박 대화,"야 내가 그거 가져오라고 한지가 언제야
너희 어머니 엄청 아름답던데 다시 못보게 되도 괜찮나보지?
엄마가 소중하면 얼른 약속을 지켜야지
아저씨가 좋게 말하잖아 얼른 가져오라고
그 안에 못 가져오면 어떻게 할건데"
3156,3156,기타 괴롭힘 대화,"야 너 진짜 못생긴거 알아?
아니 너 거울 좀 봐
난 오늘도 빼빼로 10개나 받았는데 넌 뭐야?
뭐래 너가 못생기고 인기 없어서 못받는거야
그냥 난 팩트를 말하는거야"
3157,3157,직장 내 괴롭힘 대화,"씨 이틀간 연차 좀 쓰지?
집에 장례식이 좀 생겼는데 거기와서 일 좀 도우라고.
그게 지금 상 당한 사람한테 할 말인가?
어차피 연차도 많이 남았던데 내 일이다 생각하고 와서 돕는게 그렇게 어렵나?
지난번에 준비하던 자료 오늘밤까지 완성해서 가져와요."
3158,3158,협박 대화,"저희가 시끄러웠다고요? 난 시끄럽게한적없은대
우리가 시끄럽게하면 얼마나 시끄럽다고 저희집까지 찾오셨을까 참을성이 없나보네
뭐?! 너 지금 말다했어?!
너 일로와 내가 어떤사람인줄알고
하 이런 싸가지없는사람을 봤나 죽고싶어?!??"
3159,3159,협박 대화,"김부장
 내가 시킨거 어떻게 했어 ?
 안했어 ?
 김부장 요즘 나사가 풀렸나봐 ?
 자네 딸 유치원 다닌다던데 ?"
3160,3160,협박 대화,"죽고 싶어서 환장했어? 왜 이렇게 말을 안 들어?
 시키는 대로 하라고 했을텐데.
 내가 우스워 보이지?
 하 맘 같아선 이 새끼 목을 그어버리고 싶은데.
 한 번만 참아준다. 다음 번에는 살아서 나갈 생각 하지 마라."
3161,3161,갈취 대화,"내가 당신 회사돈 횡령한 사실을 알고있지.
아주완벽하게 뒷처리를 해놓았더군.
내가 모르는처하는대신 나에게 뭘 해줄수있지?
그돈에 10프로를 나에게줘.그러면 모른척해주지.
준비되는대로 연락해.얼마든지 기다려줄수있어."
3162,3162,갈취 대화,"야 너 이리 와 봐
 너 지금 얼마 있어
 거짓말하지 말고. 솔직히 말해
 거지새끼. 너 신발 벗어
 확씨 안되는게 어딨어. 빨리 내놔 이 새끼야"
3163,3163,갈취 대화,"아 길동사거리 횡단보도 앞에서 주웠는데요.
그렇게 쉽게 못 넘겨주고요 뭐 오는 전화 보니까 중요한 폰 같던데 50만원만 주세요.
싫으면 마시던가요. 그냥 여기 하천에 빠트리면 되는거죠?
그니까 50만원 보내라고. 50만원 보내는 게 어려워?
내가 호구로 보이냐? 선 입금해. 물품보관소에 맡겨두고 갈거니까"
3164,3164,갈취 대화,"야 꼬맹이 너 이리와바
너 뭔데 우리 쳐다보냐
됐고 너 가지고 있는거 줘봐
뭐야 만원 밖에 없네 더 없어? 
풉 너 거지냐? 니 엄마한테 만원 더 달라고 하는게 어려워? 푸하하하
됐고 만원 고맙다 잘 쓸게"
3165,3165,직장 내 괴롭힘 대화,"김대리님 오늘 점심 드시나요?
아니 다름이 아니라. 제가 이번에 프로젝트를 하나 진행하게 되었는데. 이거 때문에 다른 업무가 힘들어서요. 이것 좀 해주세요
근데 그건 제가 상관할 건 아니고요.
아니 제가 좋은 말로 할때 그냥 하겠다고 하면 웃고 넘어갈 일을 왜 사람 기분 망치세요?
뭘 네?에요. 답답하네. 귓구멍 막혔어요? 나는 너한테 물은게 아니라 하라고 한거에요.
하던가 잘리고 싶으면 됐고 이거나 오늘까지 끝내서 올려주세요. 짜증나게 쳐다보지 말고"
3166,3166,협박 대화,"여기 나와있는 그대로 진술서 써 내. 기간은 사흘이야.
 이걸 보고도 그 말이 나올까?
 아직 아무 짓도 안 했어. 시키는 대로만 하면 순순히 풀어주지.
 무사하지 않은 쪽은 내가 아니라 네 딸이 될텐데.
 그러니 내가 시키는 대로 해. 다시 한 번 말하지만 기간은 사흘이야."
3167,3167,갈취 대화,"야 잘 지냈냐?
 야 왠일이냐 이 번화가에 다 오고
 너 요새 돈좀 있나보다 손에 그건 뭐냐?
 야 나이가 몇인데 심부름이야 
 야 빨리 내놔 맞기 전에"
3168,3168,기타 괴롭힘 대화,"이거 사이즈 업 해줘.
아니 서비스로 못 해줘?
참 무슨 가게가 이래?
단골을 이렇게 대해도 돼?
응 내가 누군지 알고 하는 말이지?"
3169,3169,직장 내 괴롭힘 대화,"김사원 오늘은 밥 혼자 따로 먹게.
그게 내가 알아야 하는거야? 그냥 혼자 먹으라고 하면 혼자먹어. 같이 밥 먹으면 밥맛 떨어질거 같으니까.
진짜 짠돌이네. 그깟 점심 하나 네 돈 주고 사먹어. 뭘 맨날 돈 받고 점심 먹으려고 그러냐?
너 돈 그렇게 아껴서 어디다 쓰냐? 니 치장하는데? 너 그래서 내 딸 결혼식에 축의금 5만원 냈어?
넌 상품권하고 축의금이 같아? 내가 축의금 여는데 쪽팔려서 진짜. 앞으로도 쭉 혼자 먹고 혼자 다녀. 얘들아 가자
그니까 없는 돈 모아서 줄거면 그냥 축의금만 내고 가지 그랬어. 너 밥도 먹었잖아. 돈 아깝게"
3170,3170,갈취 대화,"돈 좀 빌려줘라
그럼 주머니에 있는건 종이냐
맞고 줄래 그냥 줄래
어허 이자식이 안되겠네 별보고싶냐
그래야지 잘쓸게 나중에 갚으마!"
3171,3171,갈취 대화,"어이 형씨 잠깐 골목으로 들어와
질문은 됐고 조용히 따라오라니깐
갖고 있는 카드 현금 다 내놔
지금부터 뒤져서 나오면 강냉이부터 나간다
핸드폰 내놔."
3172,3172,협박 대화,"지금 주소를 보낼테니 당장 내가 있는 곳으로 와.
 뭐? 오지 않겠다고.? 무슨일이 일어날지 나도 장담못해
 이렇게 나온다면 나도 어쩔 수 없어.!!! 그럼 너를 가장 아끼는 애인을 죽일 수 밖에.
 그렇게 나온다면 너의 남자친구인 김철수를 죽일 수 밖에 없다고!!
 그건 너가 더 잘 알겠지. 난 많이 참았다고"
3173,3173,직장 내 괴롭힘 대화,"일 이따위로 할거야?
죄송하면 다냐? 어떻게 할거야
다른 사람들한테는 뭐라고 할건데
이 사람 진짜 답답하네 내가 이래서 뽑지 말지니까
죄송하다 죄송하다 말로만 하면 되겠냐고? 왜 사람이 그 모양인데"
3174,3174,직장 내 괴롭힘 대화,"김대리 중요한 거 할 꺼 없나 지금?
내가 지금 배가 고파
아니 그거 말고 할 꺼 없는 김대리가 내 밥 좀 사와
급한 거 아니잖아 얼른 가 봐
나 배고프니까 빨리 내 밥 사들고 와. 연어샐러드정도면 좋겠어"
3175,3175,갈취 대화,"딸 아빠 50만원만 빌려줘
 어디서 말대꾸야 아빠가 주라면 줘야지
 너 맞고 싶냐 안내놔?
 이번에는 진짜로 두 배로 돌려 줄게
 내가 또 너네 직장 가서 행패 부려줘?"
3176,3176,협박 대화,"쓰레기 같은 인생 청산한다고 생각해라
니 장기는 좋은 곳에 쓰일 거야
안 되길 뭘 안 돼 상황파악이 안 돼?
시키는 것만 하면 살려줄 거 같았어? 생각보다 단순하네
뭐? 니가 진짜 미쳤구나 애들아 잡아라 배 갈라"
3177,3177,직장 내 괴롭힘 대화,"과장님 그거 아직안되엇어요
과장님 저 할일이너무많아요
이대리님이한테 해달라고 하시면안되나요?
과장님 너무하시네요.저 맨 날야근합니다
네? 그럼 제가 부장님한테 직접얘기할게요"
3178,3178,갈취 대화,"지금금고빨리열어서 가진돈 다꺼내.
배에칼맞기싫으면 빨리꺼내
사장님이고뭐고 너진짜칼맞기싫으면 금고에든돈 다꺼내
조금들어있는돈이라도다 꺼내놔 안꺼내면 진짜찌른다
모조리다꺼내 좋은말할때."
3179,3179,갈취 대화,"저기요 아가씨 길을 잃으셨나요?
야 새끼야 돈 내놔
어디서 거짓말이야 뒤지다 나오면 어쩔래
와 진짜 당돌한 여자네 근데 이거 어쩌냐 나도 겁없는 인생인데"
3180,3180,기타 괴롭힘 대화,"야 넌 내가 우습냐?
내가 산 물건이 아니잖아!?
뭐? 내잘못이라는거냐? 어이가 없어서 콜센터 직원즈제에 내가 누군지 알고 짓껄여
어이가 없네? 야 내가 뭘 잘못했다그래? 거기 앉아서 전화만 하는 년이 제대로 확인한거 맞아?
야 기분도 안좋은데 잘 걸렸다 니년이 첨부터 똑바로 설명을 해줘야지 내가 안헷갈리거 아냐? 그래놓고 내 잘못이라고 입을 나불대? 진짜 죽고싶어?"
3181,3181,협박 대화,"아저씨 저 담배하나만 사다주세요
아저씨가 무슨상관이에요? 부모라도 돼?
아 됐고 안사줄거면 됐어요
아진짜 짜증나게 어딜잡아요? 안사줄꺼면 꺼지라고
안되긴 뭐가 안돼? 아저씨가 내 인생 살아줄거야? 염병 기분나쁘니까 꺼지라고 한대 맞아야 정신차릴거에요?
아주 그냥 성자 나셨네 성자 두번 말안해 안사줄꺼면 꺼져 쳐맞기 싫으면"
3182,3182,갈취 대화,"야 거기 너 일로와봐
그래 너 찐따같은 놈 말 한번에 못 알아듣냐?
왜요? 말대꾸하냐? 미쳤나 돈이나 꺼내
개소리하네 그럼 학교에서 버스 어떻게 타고 왔어? 빨리 꺼내라
돈 그냥 줄래 맞고 줄래?"
3183,3183,협박 대화,"이거 해줘
해달라니깐
너가 더잘하잖아 해줘
너 자꾸 그러면 죽는 수가 있어
빨리해줘"
3184,3184,갈취 대화,"야 니 휴대폰 줘봐
기다려봐 이건 박살을 내 버려야 해
너 이 자식 풍경사진 찍는다고 나까지 찍어 버리면 어떻하냐?
아 됐고 정신적 피해 보상금까지 주셔야 합니다.
사진 누구 마음 대로 함부로 찍으래. 빨리 피해보상금 내놔."
3185,3185,직장 내 괴롭힘 대화," 그러게. 누가 봐도 지적 받아서 기분 나쁜 티 팍팍 내더라.
 피곤? 아이구 어제 여자친구랑 뭘 한거야?
 아 기분이 나빴어? 이 대리가 기분이 나빴으면 사과해야지. 무릎이라도 꿇을까?
 생각이 짧았습니다. 죄송합니다.
 부장님 아니에요 제가 실수했나봐요. 이 대리 기분 나쁘면 안 되는건데. 내가 아주 잘못을 했나봐!"
3186,3186,직장 내 괴롭힘 대화,"저기 과장님 이거 어떡게 해야 하나요?
아니 부장님 께서 물어보신건데
야 현과장 자네 미쳤나 내가 우스워
그래 나도 미안하네
신경 쓰이니까 저리 꺼져요"
3187,3187,기타 괴롭힘 대화,"야 체육복 있냐
나 2교시에 체육시간인데 체육복 없어서 빌려주라
알았어
체육복? 그거 냄새나서 버렸는데?
그럼 너가 깨끗한걸 빌려주던가 땀냄새 심하던데 좀 빨아입어 너같으면 땀 냄새 나는데 더러워서 입을 수 있냐?"
3188,3188,직장 내 괴롭힘 대화,"야이 미친놈아 이거 하나 똑바로 못외워?
이 미친놈 봐라 반성도 안하고 핑계부터 대네 
요즘 이등병 미처 날뛰네 야 박일병!!! 맞후임 관리 안하냐?? 군대 거꾸로 돌아가네
됐고 한번 좆 돼 봐야 정신차리지 내 아래로 싹다 집합시켜. 20분 준다 
너는 대가리가 어떻게 되먹은거냐 개폐급이네 진짜"
3189,3189,직장 내 괴롭힘 대화,"야 박대리. 강남역 앞에 있는 포차로 오게.
그래 한 번 말하면 못 알아듣나?
야 한 잔 쯤이야 뭐. 그거 음주단속에도 안 걸려. 최대한 빨리 와.
나 내차 대리 안맞겨. 걔네가 무슨 짓 할 줄 알고 내가 대리를 맡기나. 박대리니가 대리좀 해줘 웃기지 하하하하.
야 박대리! 넌 음주단속 걸려서 벌금 내는 게 무섭나 아니면 곧 올 인사평가에서 내가 점수를 낮게주는 게 무섭나.
그럼 인사평가에서 인생 망해보던가."
3190,3190,갈취 대화,"야 너 이거 필통 좋아보인다?
오 부모님 이건 내가 가져간다.
친구한테 빌려줬다고 하면 되지. 왜 안돼?
이제는 내가 혼날거라고 협박도 하네? 그래서 나 주는게 싫다 이거야?
그럼 오늘부터 이거 내 거다. 말은 네가 잘 해."
3191,3191,갈취 대화,"이번 길동회사 신제품이 회사꺼랑 같던데요?
근데 이 서류들은 어떻게 해명하실건가요?? 길동 회사에 어째서 회사 원가와 판매가 연구일지들 복사본들이 있는거죠?
지금 회사는 이런 속내도 모르고 비상사태이니. 
제가 지금 돈이 너무 궁하네요 통장에 딱 6천만 있으면 좋을 것 같은데
그건 제 알빠가 아니고요 오늘 3시까지 6천만원 입금이 안돼있으면 이 증거들 제 손을 떠날 겁니다."
3192,3192,기타 괴롭힘 대화,"저기 우리 애가 아직 어린데 애기 안고 영화보면 저 1명 몫만 영화값 내면 되죠?
 아니 그런 걸 누가 매번 들고다녀요. 오늘 깜빡하고 안가져왔어요.
 아니 알바생이 어려서 뭘 좀 모르네. 유도리있게 해야지. 딱 봐도 어리잖아. 누가봐도 애기인데 그냥 좀 해주면 안되나? 이렇게 일머리가 없어서야 원
 아 그냥 해달라고!!! 뭔 말이 많아
 하 진짜 말귀 못알아먹네. 답답해서 진짜. 점장 나오라해!!! 너 내가 오늘 가만 안둬. 지금 영화 시간 지났잖아 너 때문에!!!!"
3193,3193,협박 대화,"야! 너네 또 뛰었지!!!
너네잖아!!!!
너네 진짜 죽여버린다!!!
시!! 니네 엄마랑 니네 아들 내 눈에 띄면 다 죽여버릴거야!!!
니 맘대로해!!!"
